Source title;CiteScore;Highest percentile;2021-24 Citations;2021-24 Documents;% Cited;SNIP;SJR;Publisher
International Journal of Purchasing and Materials Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;John Wiley & Sons
Middle East Business and Economic Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Association for Middle East Economic Research
Journal of Economic Cooperation Among Islamic Countries;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Statistical Economic and Social Research and Training Centre for Islamic Countries
Accounting, Business and Financial History;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Revue de Gestion des Ressources Humaines;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Editions ESKA
Journal of Organizational Culture, Communications and Conflict;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Allied Academies
Academy of Accounting and Financial Studies Journal;N/A;N/A;N/A;N/A;N/A;0,26;N/A;Allied Academies
Journal of the International Academy for Case Studies;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Allied Academies
Journal of Operations and Supply Chain Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fundacao Getulio Vargas
Graziadio Business Report;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Pepperdine University
Total Quality Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Sport Marketing Quarterly;N/A;N/A;N/A;N/A;N/A;1,519;1,334;Fitness Information Technology
Revue de l'Organisation Responsable;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Editions ESKA
Entrepreneurial Executive;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Allied Academies
Academy of Entrepreneurship Journal;N/A;N/A;N/A;N/A;N/A;0,306;N/A;Allied Academies
Academy of Marketing Studies Journal;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Allied Academies
International Journal of Entrepreneurship;N/A;N/A;N/A;N/A;N/A;0,477;N/A;Allied Academies
Journal of Internet Banking and Commerce;N/A;N/A;N/A;N/A;N/A;N/A;N/A;JIBC Publisher
Zeitschrift fur Personalforschung;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Rainer Hampp Verlag
Tourismos;N/A;N/A;N/A;N/A;N/A;N/A;N/A;University of the Aegean
International Business Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Medwell
American Journal of Pharmacy Benefits;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Managed Care and Healthcare Communications
Fabriksoftware;0;"8.0%
174/190
Information Systems and Management";4;87;5;0;0,1;Gito Verlag
Analele Stiintifice ale Universitatii Al I Cuza din Iasi - Sectiunea Stiinte Economice;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Alexandru Ioan Cuza - University of Iasi
International Journal of Applied Business and Economic Research;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Serials Publications
International Journal of Economic Research;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Serials Publications
Management Education;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Common Ground Research Networks
Irrigation and Drainage Systems;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
Business Research;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
Zeitschrift fur Arbeitsmarktforschung;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
Knowledge Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Common Ground Research Networks
International Journal of Knowledge, Culture and Change Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Common Ground Research Networks
Performance Improvement Quarterly;N/A;N/A;N/A;N/A;N/A;1,077;0,301;International Society for Performance Improvement
Journal of Research and Practice in Information Technology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Australian Computer Society
Keramische Zeitschrift;N/A;N/A;N/A;N/A;N/A;0,05;0,106;DVS Verlag
Harvard International Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Harvard International Review
Restaurant Business;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Ideal Media LLC
Fortune;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Time Warner Publishing
Transnational Corporations;N/A;N/A;N/A;N/A;N/A;1,364;0,393;UNCTAD United Nations Conference on Trade and Development
Universia Business Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Universia Holding
Business Week;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Bloomberg
Clinical Leadership and Management Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;CLMA
Journal of the China Textile Institute;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taiwan Textile Research Institute
Sales and Marketing Management;0;"1.0%
441/451
Business and International Management";0;54;0;N/A;0,101;VNU eMedia Inc.
Privredna Kretanja i Ekonomska Politika;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Institute of Economics (Zagreb)
Academic Leadership;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Journal of Academic Leadership
Australasian Journal of Construction Economics and Building;N/A;N/A;N/A;N/A;N/A;N/A;N/A;University of Technology Sydney ePress
European Research Studies Journal;N/A;N/A;N/A;N/A;N/A;N/A;N/A;University of Piraeus, International Strategic Management Association
Accounting;N/A;N/A;N/A;N/A;N/A;0,842;N/A;Growing Science
Frontiers in Sustainable Tourism;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Frontiers Media S.A.
Management Science Letters;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Growing Science
Economics, Management, and Financial Markets;N/A;N/A;N/A;N/A;N/A;1,689;N/A;Addleton Academic Publishers
Corporate Ownership and Control;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Virtus Interpress
Journal of Business and Retail Management Research;N/A;N/A;N/A;N/A;N/A;N/A;N/A;The Academy of Business and Retail Management (ABRM)
Journal of International Business and Economics;N/A;N/A;N/A;N/A;N/A;N/A;N/A;International Academy of Business and Economics
Frontiers in Behavioral Economics;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Frontiers Media S.A.
Uncertain Supply Chain Management;N/A;N/A;N/A;N/A;N/A;0,907;N/A;Growing Science
Research and Practice in Human Resource Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;The School of Management, Curtin University
International Journal of Business and Management Science;N/A;N/A;N/A;N/A;N/A;0,058;0,133;Society for Alliance, Fidelity and Advancement
Journal of Self-Governance and Management Economics;N/A;N/A;N/A;N/A;N/A;2,066;N/A;Addleton Academic Publishers
Foresight Russia;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Higher School of Economics, National Research University
Corporate Governance and Organizational Behavior Review;N/A;N/A;N/A;N/A;N/A;0,429;N/A;Virtus Interpress
Business Performance Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Virtus Interpress
International Journal of Management and Business Research;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Islamic Azad University
Journal of Petroleum Technology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Society of Petroleum Engineers
SPE Economics and Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Society of Petroleum Engineers
International Journal of Business Research;N/A;N/A;N/A;N/A;N/A;N/A;N/A;International Academy of Business and Economics
Business and Economic Horizons;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Prague Development Center
Transnational Marketing Journal;N/A;N/A;N/A;N/A;N/A;0,418;0,239;Transnational Press London Ltd
IZA Journal of Labor and Development;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
IZA Journal of European Labor Studies;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
Journal of Accounting, Ethics and Public Policy;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Journal of Accounting, Ethics and Public Policy
Austrian Journal of South-East Asian Studies;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Society for South-East Asian Studies
OECD Journal: Journal of Business Cycle Measurement and Analysis;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Organisation for Economic Co-operation and Development
Journal of Management and Business Administration. Central Europe;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Walter de Gruyter
Journal of Business and Entrepreneurship;N/A;N/A;N/A;N/A;N/A;N/A;N/A;University of South Florida, St. Petersburg
Journal of Eastern European and Central Asian Research;N/A;N/A;N/A;N/A;N/A;0,555;N/A;Institute of Eastern Europe and Central Asia
Clinical Management Issues;N/A;N/A;N/A;N/A;N/A;N/A;N/A;SEEd srl
International Journal of Advanced Research in Engineering and Technology;N/A;N/A;N/A;N/A;N/A;N/A;N/A;IAEME Publication
International Journal of Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;IAEME Publication
Revista Europea de Direccion y Economia de la Empresa;N/A;N/A;N/A;N/A;N/A;N/A;N/A;European Academy of Management and Business Economics
Journal of Asian Finance, Economics and Business;N/A;N/A;N/A;N/A;N/A;1,616;N/A;KODISA Foundation
International Journal of Agricultural Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Institute of Agricultural Management
Entrepreneurship and Sustainability Issues;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Entrepreneurship and Sustainability Center
Universal Journal of Accounting and Finance;N/A;N/A;N/A;N/A;N/A;0,651;N/A;Horizon Research Publishing
Advances in Science, Technology and Engineering Systems;N/A;N/A;N/A;N/A;N/A;0,427;N/A;ASTES Publishers
Journal of Index Investing;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Portfolio Management Research
Informacijos Mokslai;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Vilnius University - Faculty of Communication
World Journal on Educational Technology: Current Issues;N/A;N/A;N/A;N/A;N/A;0,809;N/A;Birlesik Dunya Yenilik Arastirma ve Yayincilik Merkezi
Indian Journal of Economics and Business;N/A;N/A;N/A;N/A;N/A;0,537;N/A;Ashwin Anokha Publications and Distributors
Finance Controle Strategie;N/A;N/A;N/A;N/A;N/A;N/A;N/A;OpenEditions Journals
Graziadio Business Review;N/A;N/A;N/A;N/A;N/A;0,081;0,13;Graziadio School of Business and Management-Pepperdine University
Academy of Strategic Management Journal;N/A;N/A;N/A;N/A;N/A;0,425;N/A;Allied Business Academies
Journal of Entrepreneurship Education;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Allied Business Academies
Journal of Management Information and Decision Science;N/A;N/A;N/A;N/A;N/A;0,533;N/A;Allied Business Academies
Academic Journal of Interdisciplinary Studies;N/A;N/A;N/A;N/A;N/A;0,417;N/A;Richtmann Publishing Ltd
London Business School Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;John Wiley & Sons
International Journal of Professional Business Review;N/A;N/A;N/A;N/A;N/A;0,792;N/A;AOS-Estratagia and Inovacao
Iranian Journal of Management Studies;N/A;N/A;N/A;N/A;N/A;N/A;N/A;University of Tehran, College of Farabi
Universidad y Sociedad;N/A;N/A;N/A;N/A;N/A;0,421;N/A;University of Cienfuegos, Carlos Rafael Rodriguez
Business Management and Education;N/A;N/A;N/A;N/A;N/A;N/A;N/A;VGTU: Vilniaus Gedimino technikos universitetas
International Journal of Applied Economics, Finance and Accounting;N/A;N/A;N/A;N/A;N/A;0,453;N/A;Online Academic Press
@GRH;0;"1.0%
232/234
Organizational Behavior and Human Resource Management";1;27;4;0;0,102;Association Francophone de Gestion des Relations Humaines
Area Abierta;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Universidad Complutense Madrid
Gestion 2000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Recherches et Publications en Management A.S.B.L
Educational Administration: Theory and Practice;N/A;N/A;N/A;N/A;N/A;0,388;N/A;Auricle Global Society of Education and Research
Technology Audit and Production Reserves;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Technology Center
International Journal of Sustainable Manufacturing;N/A;N/A;N/A;N/A;N/A;0,099;0,194;Inderscience Publishers
International Journal of Financial Research;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Sciedu Press
Journal of Advanced Research in Law and Economics;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ASERS Publishing
Research in World Economy;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Sciedu Press
Journal of Enterprise Transformation;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Emergency Health Services Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Taylor & Francis
Journal of Environmental Management and Tourism;N/A;N/A;N/A;N/A;N/A;0,68;N/A;ASERS Publishing
International Journal of Economics and Business Administration;N/A;N/A;N/A;N/A;N/A;N/A;N/A;International Strategic Management Association
International Journal of Recent Technology and Engineering;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Blue Eyes Intelligence Engineering and Sciences Publication
International Journal of Scientific and Technology Research;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Amazedia Solutions
Journal of Global Business and Trade;N/A;N/A;N/A;N/A;N/A;0,111;N/A;International Academy of Global Business and Trade
Health Libraries Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;John Wiley & Sons
Espacios;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Revista Espacios
Journal of System and Management Sciences;N/A;N/A;N/A;N/A;N/A;0,427;N/A;Success Culture Press
International Journal of Supply Chain Management;N/A;N/A;N/A;N/A;N/A;N/A;N/A;ExcelingTech
International Journal on Emerging Technologies;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Research Trends (P) LTD.
Zhengzhou Daxue Xuebao/Journal of Zhengzhou University;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Zhengzhou University
Journal of Sustainable Competitive Intelligence;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Editora Alumni In
Big Data and Computing Visions;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Research Expansion Alliance (REA)
Interfaces;N/A;N/A;N/A;N/A;N/A;N/A;N/A;INFORMS Inst.for Operations Res.and the Management Sciences
INFORMS Journal on Applied Analytics;N/A;N/A;N/A;N/A;N/A;0,602;0,498;INFORMS Inst.for Operations Res.and the Management Sciences
Economia Chilena;N/A;N/A;N/A;N/A;N/A;N/A;N/A;International Collaboration for Research and Publications
Distributed Ledger Technologies;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Association for Computing Machinery
Journal of Commercial Biotechnology;N/A;N/A;N/A;N/A;N/A;0,328;0,178;Journal of Commercial Biotechnology
Journal of Management World;N/A;N/A;N/A;N/A;N/A;0,293;N/A;Editorial Team of JoMW
Journal of Applied Business Research;N/A;N/A;N/A;N/A;N/A;0,337;0,131;Clute Institute
Systems Practice;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Springer Nature
Review of Marketing and Agricultural Economics;N/A;N/A;N/A;N/A;N/A;N/A;N/A;New South Wales
Economie Internationale;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Dares
Touchpoint;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Service Design Network
Journal of Applied Economic Sciences;N/A;N/A;N/A;N/A;N/A;N/A;N/A;RITHA Publishing House
Journal of Korea Trade;N/A;N/A;N/A;N/A;N/A;0,201;0,172;Korea Trade Research Association
Human Resources Management and Services;N/A;N/A;N/A;N/A;N/A;N/A;N/A;PiscoMed Publishing
Pan-African Journal of Education and Social Sciences;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Adventist University of Africa
Economie et Prevision;N/A;N/A;N/A;N/A;N/A;0,046;0,112;Dares
Emergence: Complexity and Organization;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Emergent Publications
Information Technologies and International Development;N/A;N/A;N/A;N/A;N/A;N/A;N/A;USC Annenberg School for Communication
NIM Marketing Intelligence Review;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Walter de Gruyter
Economic and Regional Studies / Studia Ekonomiczne i Regionalne;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Walter de Gruyter
Management (Montevideo);N/A;N/A;N/A;N/A;N/A;N/A;N/A;AG Editor (Uruguay)
Business Ethics and Leadership;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Academic Research and Publishing UG
Advances in Consumer Research;N/A;N/A;N/A;N/A;N/A;0;0,133;Association for Consumer Research
CTU Journal of Innovation and Sustainable Development;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Can Tho University
Textiles Magazine;N/A;N/A;N/A;N/A;N/A;1,862;1,137;Textile Institute International
Built Environment Journal;N/A;N/A;N/A;N/A;N/A;N/A;N/A;MARA University of Technology
ZEV-Zeitschrift fuer Eisenbahnwesen und Verkehrstechnik - Journal for Railway and Transport;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Georg Siemens Verlag GmbH and Co. KG
Strategic Direction;0,1;"1.0%
487/496
Strategy and Management";62;606;8;0,014;0,105;Emerald Publishing
Human Resource Management International Digest;0,1;"1.0%
231/234
Organizational Behavior and Human Resource Management";18;305;4;0,002;0,101;Emerald Publishing
Genetic Engineering and Biotechnology News;0,1;"2.0%
306/314
Biotechnology";110;813;9;0,01;0,14;Mary Ann Liebert
Asian Journal of Interdisciplinary Research;0,1;"18.0%
511/630
Arts and Humanities (miscellaneous)";6;47;13;0,015;0,118;Asian Research Association
World of Mining - Surface and Underground;0,1;"3.0%
231/239
Geotechnical Engineering and Engineering Geology";3;36;8;0,003;0,108;GDMB Gesellschaft fur Bergbau, Metallurgie, Rohstoff- und Umwelttechnik e.V.
Management Review (Taiwan);0,1;"3.0%
435/451
Business and International Management";5;51;8;0,074;0,102;Kung-Hwa Management Foundation
Forbes;0,1;"1.0%
491/496
Strategy and Management";11;199;3;0;0,1;Forbes Magazine
Banking Law Journal;0,1;"4.0%
215/225
General Business, Management and Accounting";9;92;8;0,088;0,105;Sheshunoff Information Services
Futuribles: Analyse et Prospective;0,2;"11.0%
594/674
Social Sciences (miscellaneous)";41;171;18;0,332;0,16;Futuribles
CASE Journal;0,2;"6.0%
211/225
General Business, Management and Accounting";41;194;16;0,03;0,105;Emerald Publishing
Travail et Emploi;0,2;"2.0%
276/284
General Economics, Econometrics and Finance";6;30;20;0,474;0,104;Documentation Francaise
Journal of the Textile Association;0,2;"10.0%
361/402
Industrial and Manufacturing Engineering";16;101;11;0,197;0,133;Textile Association (India)
Atelie Geografico;0,2;"13.0%
250/288
Urban Studies";41;167;18;0,197;0,15;Universidade Federal De Goias (UFG)
Labour/Le Travail;0,2;"24.0%
1398/1850
History";28;174;10;0,503;0,133;Athabasca University
International Journal of Business Process Integration and Management;0,2;"5.0%
425/451
Business and International Management";9;39;18;0,029;0,122;Inderscience Publishers
Journal of the Japan Research Association for Textile End-Uses;0,2;"6.0%
212/225
General Business, Management and Accounting";7;35;17;0,316;0,104;Japan Research Association for Textile End-Uses
Communication and Management;0,2;"4.0%
432/451
Business and International Management";9;60;13;0,058;0,123;Editions ESKA
African Multidisciplinary Tax Journal (AMTJ);0,2;"9.0%
612/674
Social Sciences (miscellaneous)";12;64;14;N/A;N/A;Juta and Company Ltd
International Journal of Marketing Semiotics and Discourse Studies;0,2;"22.0%
869/1126
Language and Linguistics";2;10;20;0,143;0,115;University of Kassel
NTUT Journal of Intellectual Property Law and Management;0,2;"12.0%
962/1105
Law";11;48;21;0,221;0,103;National Taipei University of Technology
Capitale Culturale;0,2;"36.0%
58/91
Museology";70;305;12;0,323;0,15;eum - Edizioni Universita di Macerata
Management and Prospective;0,2;"7.0%
209/225
General Business, Management and Accounting";24;97;18;0,053;0,142;Recherches et Publications en Management A.S.B.L
Journal of International Business Education;0,2;"5.0%
427/451
Business and International Management";16;72;14;0,109;0,107;NeilsonJournals Publishing
Journal of Organizational Behavior Education;0,2;"5.0%
58/61
Industrial Relations";13;61;16;0,189;0,116;Istanbul University Press
Cooperativismo e Economia Social;0,2;"10.0%
991/1105
Law";10;52;13;0;0,111;Faculty of Legal Sciences and Labor, University of Vigo
Journal of Management and Business Research;0,2;"6.0%
423/451
Business and International Management";18;76;18;0,072;0,113;Chinese Management Association
Rivista Italiana di Ragioneria e di Economia Aziendale;0,2;"3.0%
201/208
Business, Management and Accounting (miscellaneous)";13;57;19;0,047;0,111;Casa Editrice Rirea
Asian Case Research Journal;0,2;"5.0%
213/225
General Business, Management and Accounting";12;78;9;0,045;0,116;World Scientific
Revue Internationale de Droit Economique;0,2;"13.0%
954/1105
Law";23;98;15;0,107;0,107;De Boeck
Sociologie du Travail;0,2;"8.0%
1377/1497
Sociology and Political Science";40;191;13;0,29;0,128;Centre de sociologie des organisations
Journal of Empirical Generalisations in Marketing Science;0,3;"5.0%
204/215
Marketing";2;7;29;0,159;0,107;University of South Australia
Quality Progress;0,3;"12.0%
353/402
Industrial and Manufacturing Engineering";42;135;16;N/A;N/A;American Society for Quality
Tamkang Journal of International Affairs;0,3;"15.0%
624/738
Political Science and International Relations";17;51;20;0,29;0,104;Tamkang University
Childhood Education;0,3;"7.0%
1491/1620
Education";76;240;22;0,588;0,136;Taylor & Francis
Retraite et Societe;0,3;"15.0%
1271/1497
Sociology and Political Science";21;61;20;0,286;0,11;Documentation Francaise
Formation Emploi;0,3;"13.0%
1293/1497
Sociology and Political Science";45;141;24;0,468;0,184;Documentation Francaise
International Journal of COMADEM;0,3;"13.0%
350/402
Industrial and Manufacturing Engineering";25;74;19;0,369;0,12;COMADEM International
Mundo Agrario;0,3;"40.0%
1097/1850
History";28;103;17;0,394;0,108;Universidad Nacional de La Plata
Risk Governance and Control: Financial Markets and Institutions;0,3;"8.0%
238/260
Economics, Econometrics and Finance (miscellaneous)";15;49;22;N/A;N/A;Virtus Interpress
International Review of Management and Marketing;0,3;"8.0%
207/225
General Business, Management and Accounting";31;114;18;N/A;N/A;Econjournals
Journal of Investment Strategies;0,3;"7.0%
263/284
General Economics, Econometrics and Finance";14;45;22;0,275;0,16;Infopro digital
Suranaree Journal of Social Science;0,3;"33.0%
568/854
Philosophy";17;64;17;0,031;0,114;Suranaree University of Technology
E-Journal of International and Comparative Labour Studies;0,3;"14.0%
941/1105
Law";17;68;16;0,053;0,117;ADAPT University Press
Journal of Australian Taxation;0,3;"2.0%
326/333
Finance";7;25;20;0;0,104;Journal of Australian Taxation Pty Ltd
Review of Economic Research on Copyright Issues;0,3;"21.0%
868/1105
Law";4;12;17;0,518;0,123;Society for Economic Research on Copyright Issues
Journal of Business Ethics Education;0,3;"40.0%
509/854
Philosophy";18;56;18;0,184;0,108;NeilsonJournals Publishing
